Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
Goulashn1kov,955,1108329,1130,108,5307,5,2055250,5,3486,4039,17,5,4.07902e+06,2,1108329,0,955,0,0,0,0
Gozli,513,723497,1774,67,7655,3,1588990,3,1700,2290,4,0,2.77662e+06,2,723497,0,513,0,0,0,0
GrandMasterGuess,1136,1345102,848,95,4623,10,2525780,8,4050,5665,0,0,6.03166e+06,1,1345102,0,1136,0,0,0,0
GrayskullCube,1123,1185742,1738,87,9096,3,2236960,5,1494,3143,52,21,1.36995e+06,2,1185742,0,1123,0,0,0,0
Grisu0302,1129,1367928,1565,108,6899,3,2188500,6,2535,1897,3,6,526090,2,1367928,0,1129,0,0,0,0
Gsundi_Aut,1430,1149983,2686,234,14563,12,3484030,8,5541,3323,77,13,4.63278e+06,2,1149983,0,1430,0,0,0,0
Gunridden,641,651956,1308,52,4795,4,1575260,3,2825,2822,2,0,3.03767e+06,1,651956,0,641,0,0,0,0
Gwar04,1172,1093998,1624,259,5886,3,1904970,4,1908,2357,16,2,3.76737e+06,2,1091393,2605,1169,3,16.7235,10.9148,7.25471
H445E,1401,1694408,677,134,6220,14,1676020,4,3371,2714,0,0,5.4355e+06,2,1694408,0,1401,0,0,0,0
H4i-Fish,1537,1402764,3213,226,21517,25,3181510,6,5284,4706,0,0,8.11991e+06,2,1401454,1310,1536,1,11.9157,14.2318,6.54944
HAMMER_H2_SUT,1089,1101794,2935,952,15591,52,2875770,4,2955,2211,4,2,5.50841e+06,3,1101794,0,1089,0,0,0,0
