Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
Gunridden,641,651956,1308,52,4795,4,1575260,3,2825,2822,2,0,3.03767e+06,1,651956,0,641,0,0,0,0
Gwar04,1205,1127252,1624,259,5927,4,1976240,4,1971,2421,16,2,3.91327e+06,2,1109770,17482,1189,16,41.8692,9.98021,6.84399
H445E,1401,1694408,677,134,6220,14,1676020,4,3371,2714,0,0,5.4355e+06,2,1694408,0,1401,0,0,0,0
H4i-Fish,1561,1419134,3243,226,21641,26,3242310,6,5367,4787,0,0,8.26759e+06,2,1411502,7632,1552,9,28.6299,15.7848,7.32123
HAMMER_H2_SUT,1096,1109267,2942,952,15601,52,2897980,4,2979,2237,4,2,5.54576e+06,3,1101794,7473,1089,7,26.4928,15.3304,9.5047
HGS18_Flash,1336,1651853,1572,252,12188,6,2427300,6,3515,3370,11,1,5.59464e+06,2,1651853,0,1336,0,0,0,0
HImeNaa,1351,1606827,3301,1115,21954,10,2508100,6,1771,2158,15,9,1.61598e+06,3,1606827,0,1351,0,0,0,0
HUDISH1923,482,440373,267,80,1840,1,1325620,2,1545,2072,9,0,2.86435e+06,2,440373,0,482,0,0,0,0
Halenio,990,975707,1602,805,9255,17,2730470,5,3199,1420,2,0,6.43729e+06,1,966007,9700,979,11,32.2616,17.9055,19.0641
HardMacK,999,945591,1815,279,6109,10,2016670,3,2057,3219,22,6,2.923e+06,1,945591,0,999,0,0,0,0
HearMeR0aR,1034,1508842,11425,19,27178,829,2410550,5,6082,5792,0,0,8.18822e+06,2,1508842,0,1034,0,0,0,0
HeiligeHeinrich,885,1103198,2826,173,10856,5,1749840,3,2423,3094,29,21,4.22675e+06,2,1103198,0,885,0,0,0,0
Hoowuth,850,851558,3157,251,13276,3,2282600,5,2916,2616,12,3,3.22654e+06,2,851558,0,850,0,0,0,0
HsTJeges,709,859145,717,72,2770,3,1973910,5,2932,3144,115,30,318670,2,859145,0,709,0,0,0,0
HugeAssman,1261,1542703,3199,130,10247,8,2294830,5,3900,3690,21,9,6.50415e+06,2,1513853,28850,1235,26,56.5653,20.1587,24.7148
HumpelHelge,729,840865,2449,95,5689,5,2483100,5,3509,2242,10,2,5.6059e+06,2,820382,20483,704,25,52.2706,16.0642,19.6439
I-MazoR-I,967,957657,707,424,2942,7,1741100,5,3020,4160,0,0,4.24839e+06,1,957657,0,967,0,0,0,0
IIpOII,982,1123948,1741,136,11025,5,1937830,5,2866,3398,2,1,3.61474e+06,2,1116714,7234,975,7,26.2829,7,5.89789
IIxShahinxII,1033,790231,241,17,1408,146,1633750,2,1332,1818,258,52,1.94826e+06,2,763494,26737,1006,27,56.8008,9.11917,6.64606
IMrMaestroX,435,557866,873,20,1493,1,994843,2,1553,3025,1,0,57855,2,557866,0,435,0,0,0,0
IPhysiXI,525,659679,2004,68,7373,6,1985780,4,2248,3234,2,1,1.94942e+06,2,659679,0,525,0,0,0,0
IRazer1990,1062,1155144,1871,151,4019,4,1576260,3,1973,2699,16,12,1.2028e+06,2,1155144,0,1062,0,0,0,0
